,id,lat,long,hour,proj,pltGrp,pltPosition,label
1315,24413,22.649633,113.81192,8,28,83,0,1
1316,24414,22.583366,113.906815,1,19,72,0,1
1317,24415,22.660315,114.014259,16,9,2,0,1
1318,24416,22.621773,114.032059,22,7,43,0,1
1319,24417,22.517124,114.060524,21,4,37,0,1
1320,24418,22.628901,114.055496,9,5,31,0,1
1321,24420,22.567303,113.962494,15,14,32,0,1
1322,24422,22.565983,113.96225,12,14,92,0,1
1323,24423,22.525299,114.027199,5,7,25,0,1
1324,24424,22.512449,113.920753,5,18,62,0,1
1325,24425,22.609083,114.023201,22,8,43,0,1
1326,24426,22.518801,113.920799,7,18,50,0,1
1327,24428,22.549004,113.909492,22,19,27,0,1
1328,24429,22.611235,114.068001,17,4,46,0,1
1329,24430,22.542677,113.962578,21,14,14,0,1
1330,24431,22.583117,113.907021,1,19,72,0,1
1331,24433,22.571301,113.875198,3,22,38,0,1
1332,24434,22.570353,113.960831,14,14,57,0,1
1333,24435,22.58667,113.875175,22,22,27,0,1
1334,24436,22.601999,113.846298,1,25,7,0,1
1335,24437,22.621767,114.03688,20,7,26,0,1
1336,24438,22.590099,113.950699,9,15,75,0,1
1337,24439,22.610884,114.016747,22,8,43,0,1
1338,24440,22.586729,114.024109,14,8,4,0,1
1339,24441,22.713568,114.070618,9,3,31,0,1
1340,24442,22.639351,113.859535,9,23,11,0,1
1341,24443,22.580433,113.863319,14,23,16,0,1
1342,24444,22.610403,113.894234,21,20,14,0,1
1343,24445,22.555691,114.067841,20,4,26,0,1
1344,24446,22.625601,113.857903,0,23,13,0,1
1345,24447,22.603399,114.055901,9,5,31,0,1
1346,24448,22.638468,113.993515,18,11,66,0,1
1347,24449,22.708616,113.8284,11,26,34,0,1
1348,24450,22.785032,113.796066,0,29,13,0,1
1349,24453,22.690468,113.816086,21,27,14,0,1
1350,24455,22.547016,113.953781,20,14,26,0,1
1351,24456,22.624416,114.055817,14,5,4,0,1
1352,24457,22.622017,113.848732,0,24,13,0,1
1353,24458,22.583767,113.888046,10,21,8,0,1
1354,24459,22.5923,113.886353,9,21,11,0,1
1355,24460,22.5797,113.844002,3,25,71,0,1
1356,24461,22.76965,113.844101,20,25,44,0,1
